"chr","start","end","strand","pvalue","qvalue","meth.diff"
"chr10",63875998,63875998,"+",0,0,-15.9537925842274
"chr10",64532192,64532192,"+",0,0,16.315214893128
"chr10",65689725,65689725,"+",0,0,17.7379771038556
"chr10",65733512,65733512,"+",1.38096334201254e-06,0.000109208644779151,-17.1842202741079
"chr10",65825617,65825617,"+",1.45439216225896e-14,6.0403282548712e-12,-15.9791205314774
"chr10",70935111,70935111,"+",0,0,-36.4581828686985
"chr10",71422108,71422108,"+",0,0,19.1030605940245
"chr10",71573384,71573384,"+",1.77635683940025e-15,8.37617490822205e-13,22.2517482517482
"chr10",71582370,71582370,"+",0,0,-23.622105543901
"chr10",71593140,71593140,"+",0,0,19.3538699932132
"chr10",71595061,71595061,"+",1.66910929522146e-12,5.10044437655192e-10,17.0021547436109
"chr10",71598941,71598941,"+",0,0,24.5390003586725
"chr10",71951400,71951400,"+",0.000126685409676086,0.00499916557380131,-17.8571428571429
"chr10",72118430,72118430,"+",2.69606559299973e-12,7.96546527569447e-10,-18.312477752526
"chr10",72307101,72307101,"+",1.11022302462516e-16,5.91807495522432e-14,-19.6547794236435
"chr10",72326942,72326942,"+",1.6059065188756e-10,3.37069553902544e-08,-31.3246885329265
"chr10",72373914,72373914,"+",1.77422676439498e-07,1.8171595979511e-05,15.5000791101144
"chr10",72513682,72513682,"+",3.47166739800286e-13,1.17630885348934e-10,25.1219992813344
"chr10",72723353,72723353,"+",0,0,-20.7804791861368
"chr10",72763748,72763748,"+",0,0,21.1488426420759
"chr10",73083223,73083223,"+",1.6276070231025e-05,0.000905897511340235,-16.7216721672167
"chr10",73430529,73430529,"+",3.64002161745702e-11,8.69492214504372e-09,-18.5920754702173
"chr10",73483838,73483838,"+",2.29391354011899e-06,0.000169355397315264,-16.6010821446139
"chr10",73498683,73498683,"+",1.94219554994213e-07,1.96764555676291e-05,-17.1720988820658
"chr10",73498713,73498713,"+",1.04266393625707e-05,0.000620709705919972,-17.6419802480575
"chr10",73513791,73513791,"+",1.69653771808775e-07,1.74880701810466e-05,-17.1005726709055
"chr10",73605983,73605983,"+",1.11022302462516e-16,5.91807495522432e-14,-15.1066580968026
"chr10",73633607,73633607,"+",3.39829275830539e-11,8.16382094773972e-09,16.2133496993197
"chr10",73843995,73843995,"+",0.000202580196214552,0.00730612996638856,16.2468844287026
"chr10",73989605,73989605,"+",1.28660415654736e-11,3.35888060768479e-09,-15.6711402975937
"chr10",73992838,73992838,"+",1.59286139833625e-10,3.345731923267e-08,-15.8190628190197
"chr10",74607702,74607702,"+",1.11022302462516e-16,5.91807495522432e-14,-16.6764570310743
"chr10",74869729,74869729,"+",9.98254977457869e-07,8.24187412074789e-05,-23.6540965891774
"chr10",74946443,74946443,"+",0,0,-22.7288886060547
"chr10",75031417,75031417,"+",0,0,-20.8199286474307
"chr10",75167023,75167023,"+",9.62634679957386e-06,0.000579747579697173,-17.8181003584229
"chr10",75421178,75421178,"+",0,0,-17.1628776524328
"chr10",75421180,75421180,"+",0,0,-15.7152897842075
"chr10",75421207,75421207,"+",0,0,21.5107635001406
"chr10",75576944,75576944,"+",1.45572442988851e-12,4.49042263251552e-10,-16.0179520743729
"chr10",75827627,75827627,"+",1.25732757538799e-12,3.91879609301726e-10,-16.8539485017453
"chr10",75913589,75913589,"+",0,0,-21.5172941615233
"chr10",75976943,75976943,"+",0,0,-19.1561189938729
"chr10",75977057,75977057,"+",1.29097843526438e-11,3.36878669054432e-09,-19.9683003541445
"chr10",76042248,76042248,"+",0,0,-19.3184379750574
"chr10",76144671,76144671,"+",1.61470836701483e-12,4.9446087036035e-10,-15.4395408002355
"chr10",76438234,76438234,"+",3.07531777821168e-13,1.05096128174972e-10,25.7807417046194
"chr10",76503587,76503587,"+",5.6415474464111e-05,0.00256807781443037,-15.2719376852554
"chr10",76684051,76684051,"+",3.42158298723971e-05,0.00169468416947095,15.5527345090235
"chr10",77494225,77494225,"+",9.25271541052375e-07,7.71760352745885e-05,-18.4973487368697
"chr10",77515575,77515575,"+",7.01659386436182e-05,0.00307509231032484,-16.1125153930909
"chr10",77515578,77515578,"+",3.59441098474189e-06,0.000249450780932923,-18.428166557663
"chr10",77784418,77784418,"+",0,0,22.9263968530984
"chr10",77845916,77845916,"+",9.30723276226786e-10,1.66597618633613e-07,15.6346334271545
"chr10",78655597,78655597,"+",5.48719403248299e-10,1.03419324495674e-07,-20.6065248738284
"chr10",78737294,78737294,"+",0,0,18.6087701348268
"chr10",79258850,79258850,"+",3.37771455249936e-09,5.32403350280269e-07,16.9630766453011
"chr10",79532451,79532451,"+",0,0,18.5252076492177
"chr10",79578226,79578226,"+",0,0,20.3839725545391
"chr10",79579250,79579250,"+",0,0,-16.1889208595795
"chr10",79586144,79586144,"+",2.12853290548765e-10,4.36053970451679e-08,17.1250836001896
"chr10",80053452,80053452,"+",2.03405172038984e-07,2.05095116439623e-05,-23.7133172776737
"chr10",80127055,80127055,"+",4.94624230462648e-10,9.41584127987224e-08,27.1556909616436
"chr10",80566959,80566959,"+",2.09943173956617e-13,7.37947786869862e-11,-15.1218761612783
"chr10",80780082,80780082,"+",5.6621374255883e-15,2.49458437034364e-12,19.8318174135891
"chr10",80834447,80834447,"+",1.35906449316714e-07,1.43677933098117e-05,-21.8137254901961
"chr10",80865823,80865823,"+",1.41076039739119e-12,4.36237714300578e-10,-15.0746567221007
"chr10",80899387,80899387,"+",5.01831237563755e-05,0.00233221174883691,-16.5988116197183
"chr10",80997730,80997730,"+",6.80289055088323e-08,7.78973408121807e-06,-15.5330673672602
"chr10",81028825,81028825,"+",3.12300865618065e-05,0.00156965630826412,-17.2811619547265
"chr10",81093948,81093948,"+",1.43041935518617e-07,1.50302564627311e-05,-15.4355919583023
"chr10",81191730,81191730,"+",1.65272151629869e-05,0.000917715447366439,-15.1309240146178
"chr10",81273852,81273852,"+",1.47814370398125e-05,0.000834978536510588,-15.5484273367192
"chr10",81419332,81419332,"+",1.61370138362926e-08,2.16737163737108e-06,-17.0517087602515
"chr10",81937888,81937888,"+",0,0,23.6716548604017
"chr10",81951634,81951634,"+",3.78109765719614e-11,8.99566755006762e-09,23.5262474251151
"chr10",82012919,82012919,"+",1.11022302462516e-16,5.91807495522432e-14,-16.2450941915228
"chr10",82499811,82499811,"+",2.30285219157134e-05,0.00121554251578405,-17.3487960892402
"chr10",84626400,84626400,"+",0,0,41.68487474677
"chr10",84838493,84838493,"+",0,0,20.4015110649833
"chr10",84841752,84841752,"+",0,0,22.5509014352703
"chr10",87988228,87988228,"+",2.31636931857793e-12,6.92393457627957e-10,15.7148482621023
"chr10",87988241,87988241,"+",5.24358334530461e-12,1.46756570976598e-09,15.2041573867854
"chr10",89833591,89833591,"+",0,0,-20.866711602225
"chr10",89856993,89856993,"+",1.09444627904853e-06,8.93047560883132e-05,-17.9321046470476
"chr10",90520648,90520648,"+",0,0,-18.2192271698828
"chr10",90584840,90584840,"+",6.75437712427396e-08,7.74181178453654e-06,15.4318532348405
"chr10",90611911,90611911,"+",5.0362192194342e-10,9.56581282219603e-08,-15.5906736281387
"chr10",90638291,90638291,"+",2.22044604925031e-16,1.15521162270675e-13,-15.1036868099503
"chr10",91106569,91106569,"+",1.30340183090993e-13,4.7243442278243e-11,-16.6584042755609
"chr10",91482152,91482152,"+",1.66691118685947e-08,2.23151313817143e-06,-19.2791612980448
"chr10",92176989,92176989,"+",0,0,-18.6174835206291
"chr10",93236500,93236500,"+",6.97476520983287e-11,1.57673752254421e-08,-17.6820057475499
"chr10",93236516,93236516,"+",9.1285000669572e-09,1.30105767185039e-06,-16.3131630061258
"chr10",94055366,94055366,"+",2.52369256159568e-07,2.47683341785358e-05,18.7044454658874
"chr10",94829185,94829185,"+",3.39678193499449e-05,0.00168455437388624,15.9717314487633
"chr10",95332627,95332627,"+",8.24364165327163e-05,0.00351213755787325,-16.1204051439627
"chr10",96152199,96152199,"+",0,0,22.2589302432022
"chr10",97023895,97023895,"+",8.54871728961371e-15,3.67928911845909e-12,-18.1640504862306
"chr10",98244663,98244663,"+",0,0,-19.7715668143806
"chr10",98415920,98415920,"+",1.27926167112768e-05,0.000738779725366499,-15.0077406429287
"chr10",98468588,98468588,"+",3.88123706847043e-05,0.00188258063113583,-16.4816053511706
"chr10",98506536,98506536,"+",6.11258377247736e-10,1.13942239571738e-07,-15.6747925233458
"chr10",98803678,98803678,"+",0,0,-18.0768168547305
"chr10",98857923,98857923,"+",0,0,-16.9761935179106
"chr10",98926565,98926565,"+",0,0,31.8488792684588
"chr10",99113940,99113940,"+",2.93765012315816e-13,1.00723219056772e-10,-15.5059307673687
"chr10",99113993,99113993,"+",1.93720595120794e-11,4.89083379308129e-09,-16.2833623388516
"chr10",99114000,99114000,"+",1.38888900380607e-12,4.29932223132356e-10,-17.4985177839223
"chr10",99168300,99168300,"+",9.38747872469836e-06,0.000567517772613762,-15.7465172343989
"chr10",99181007,99181007,"+",2.33939570911668e-05,0.00123198891538586,-16.5156633906634
"chr10",99203348,99203348,"+",1.80802288252124e-07,1.84813713279889e-05,-16.8715747831452
"chr10",99338229,99338229,"+",7.99437594789509e-07,6.79146228499228e-05,21.1358447488584
"chr10",99358489,99358489,"+",1.68064932402068e-05,0.000930588339796283,-16.9216336231159
"chr10",99358536,99358536,"+",2.01616445949515e-06,0.00015151418949486,-15.5588235294118
"chr10",99582255,99582255,"+",3.02635694282571e-12,8.86735641315487e-10,-15.7337767164357
"chr10",99688307,99688307,"+",2.95087287938145e-11,7.17260063530032e-09,-20.7088906826568
"chr10",99990492,99990492,"+",1.11022302462516e-16,5.91807495522432e-14,17.7370957220714
"chr10",100082188,100082188,"+",0,0,-16.7371119733925
"chr10",100803012,100803012,"+",0,0,-27.8866492472316
"chr10",101587002,101587002,"+",0,0,26.0052137773132
"chr10",102141370,102141370,"+",2.64697296303851e-08,3.37778797866248e-06,17.4797842321997
"chr10",102568424,102568424,"+",0,0,-26.940490481907
"chr10",104102330,104102330,"+",1.30151833754866e-09,2.25105083698466e-07,17.8722050150622
"chr10",104214267,104214267,"+",4.60548450598175e-06,0.000308514987701896,-16.5773619478609
"chr10",104227919,104227919,"+",1.7688230324886e-08,2.35211910737679e-06,-17.6512253153697
"chr10",104227940,104227940,"+",2.17834150717522e-09,3.58481103254234e-07,-20.2345260444395
"chr10",104545935,104545935,"+",1.46744882767447e-06,0.00011499004764074,-19.3595127581719
"chr10",104687382,104687382,"+",5.14824050057427e-07,4.62515012750222e-05,-17.40600504008
"chr10",105389017,105389017,"+",1.85292390786351e-06,0.000140787940786702,-17.1785237822974
"chr10",105413643,105413643,"+",9.67004254448511e-14,3.57278467616712e-11,29.1026374450121
"chr10",105588616,105588616,"+",0,0,-25.4846449009905
"chr10",108158419,108158419,"+",6.81091537846346e-06,0.000432051172941936,15.4117075540442
"chr10",108389218,108389218,"+",0,0,-37.5207018159146
"chr10",108397195,108397195,"+",0,0,-24.48738170347
"chr10",108465080,108465080,"+",0,0,-36.5313653136531
"chr10",108478645,108478645,"+",0,0,-40.102656137832
"chr10",108729824,108729824,"+",1.003006033784e-08,1.41511860525714e-06,23.5924742634008
"chr10",109345147,109345147,"+",1.64306450824991e-05,0.000913223664933842,18.208024931827
"chr10",109575094,109575094,"+",0,0,16.3941136399468
"chr10",111630916,111630916,"+",0,0,25.2542761426927
"chr10",111630931,111630931,"+",0,0,23.2204759766502
"chr10",111663019,111663019,"+",2.4641583405427e-05,0.00128718035492076,16.4869726090755
"chr10",112152779,112152779,"+",0.000213136857855845,0.00761342125925398,-16.7747221430607
"chr10",112155880,112155880,"+",0.000150207097666666,0.00574559657035363,16.4751481988144
"chr10",112217706,112217706,"+",0,0,-17.6410241255058
"chr10",112259234,112259234,"+",1.72221322536359e-07,1.77144409516792e-05,16.1140346395545
"chr10",112272762,112272762,"+",1.66533453693773e-15,7.88337343310393e-13,18.0655475619504
"chr10",112477633,112477633,"+",1.31245714296568e-09,2.2680797262173e-07,-16.865671641791
"chr10",112586910,112586910,"+",0,0,15.8435036867531
"chr10",112630887,112630887,"+",8.23299497398899e-06,0.000507457295805275,16.4467930846333
"chr10",113939583,113939583,"+",0,0,15.455372927935
"chr10",113987308,113987308,"+",3.27660668153484e-07,3.11526176641117e-05,-15.2991795077046
"chr10",113987376,113987376,"+",8.22675261247241e-14,3.0715653261696e-11,-15.5189157734983
"chr10",114939122,114939122,"+",3.46955797425608e-12,1.00493957559337e-09,-15.8893820946877
"chr10",115310514,115310514,"+",0,0,18.6315288446102
"chr10",115310552,115310552,"+",0,0,18.6326079545117
"chr10",116301435,116301435,"+",0,0,20.514936868628
"chr10",116303352,116303352,"+",0,0,16.1898292442526
"chr10",116303358,116303358,"+",0,0,16.6512961255125
"chr10",118380090,118380090,"+",0,0,18.1630054264545
"chr10",118551314,118551314,"+",7.60299144197951e-07,6.50079102399148e-05,-17.3723819022577
"chr10",118931160,118931160,"+",0,0,-20.2175031115957
"chr10",118974909,118974909,"+",0,0,-15.8798129137643
"chr10",119019932,119019932,"+",4.50750547997814e-14,1.75511653309541e-11,16.3790721384265
"chr10",119022573,119022573,"+",0,0,22.2712062463483
"chr10",119024502,119024502,"+",0,0,18.6633117661155
"chr10",119151599,119151599,"+",2.44138043115072e-13,8.481878163673e-11,-16.8075995676395
"chr10",119437028,119437028,"+",0,0,-33.9178164330172
"chr10",119793620,119793620,"+",3.04423153352218e-13,1.04107263476606e-10,-15.9613265466758
"chr10",119793644,119793644,"+",1.90826243695597e-11,4.82620532431495e-09,-15.6067729675586
"chr10",119794499,119794499,"+",6.24168633445166e-08,7.22687767217521e-06,-17.8323278552112
"chr10",120354999,120354999,"+",9.07817887529916e-08,1.00462290126679e-05,-15.3152111046848
"chr10",120802082,120802082,"+",3.00972651927633e-05,0.00152230621584158,-19.4162628709873
"chr10",120828910,120828910,"+",1.47401868488828e-10,3.11593346912556e-08,-16.0562960015914
"chr10",121028722,121028722,"+",1.4210854715202e-14,5.92147029369547e-12,17.3979370720291
"chr10",121028978,121028978,"+",1.06570308133769e-12,3.35429499619534e-10,15.6560227212401
"chr10",121030499,121030499,"+",2.08224015807446e-08,2.72228727133256e-06,-15.1674817837103
"chr10",121187769,121187769,"+",9.95633519296213e-07,8.22303496724739e-05,-22.5052397046883
"chr10",121338507,121338507,"+",0,0,-27.3867837866247
"chr10",121439708,121439708,"+",3.17574064490067e-07,3.03196428404657e-05,-17.8298783271159
"chr10",122431639,122431639,"+",4.267662108004e-05,0.00203796212978387,-17.5851393188854
"chr10",122604494,122604494,"+",4.82307811175975e-05,0.00225613178128112,15.4363059232197
"chr10",123002806,123002806,"+",0,0,-19.4665631671888
"chr10",123276289,123276289,"+",0,0,16.2016491750914
"chr10",123702735,123702735,"+",0,0,18.3359475176932
"chr10",124228770,124228770,"+",0,0,-15.3225977468522
"chr10",124869026,124869026,"+",5.90638649100583e-14,2.25923193221559e-11,-27.7180322235499
"chr10",125657344,125657344,"+",3.28737037591509e-13,1.11790517015316e-10,17.6021080368906
"chr10",125756998,125756998,"+",0,0,-15.0600544139441
"chr10",125934481,125934481,"+",3.44169137633799e-15,1.56179125848977e-12,-16.0308335510844
"chr10",126257180,126257180,"+",0,0,16.2090936656105
"chr10",126290161,126290161,"+",0,0,-18.9652410936438
"chr10",126344060,126344060,"+",8.95484424068282e-06,0.000545160442114909,-16.4290435275234
"chr10",126363681,126363681,"+",4.17763577731378e-07,3.85179076405799e-05,-17.2751809593915
"chr10",126664580,126664580,"+",4.85709639539422e-05,0.0022695598135152,-15.1164596273292
"chr10",126695672,126695672,"+",0,0,-23.9589634280996
"chr10",126716346,126716346,"+",0,0,19.3091181073658
"chr10",126726335,126726335,"+",0,0,-18.3149217639438
"chr10",126917146,126917146,"+",1.33215660724773e-11,3.46814094957581e-09,-15.7721343696953
"chr10",127314563,127314563,"+",0,0,18.8983098407116
"chr10",127482137,127482137,"+",0,0,-29.0181768678493
"chr10",127568259,127568259,"+",0,0,-26.2398432865676
"chr10",127634124,127634124,"+",7.88258347483861e-15,3.40976638463974e-12,-22.4971291366531
"chr10",127746825,127746825,"+",0,0,19.1570383565485
"chr10",127748330,127748330,"+",0,0,23.0151581142435
"chr10",127776530,127776530,"+",0,0,18.584816329864
"chr10",127916251,127916251,"+",2.50691487568844e-08,3.2151391095866e-06,23.1988742964353
"chr10",128365410,128365410,"+",2.32572405778342e-10,4.72386829403149e-08,-17.0253863134658
"chr10",129075250,129075250,"+",0.000115160264381964,0.00462433044293364,-15.6737588652482
"chr10",129185348,129185348,"+",0,0,-27.372304854145
"chr10",129185404,129185404,"+",1.11022302462516e-16,5.91807495522432e-14,-22.1355820740671
"chr10",129649561,129649561,"+",4.79674422781962e-06,0.00031934374192947,18.007662835249
"chr10",129860233,129860233,"+",0,0,16.6232097369515
"chr10",129893977,129893977,"+",1.95796380857427e-05,0.00105962158451049,-15.2078684188776
"chr10",129939145,129939145,"+",0,0,20.8680790332473
"chr10",130300252,130300252,"+",0,0,16.901267040615
"chr10",131268959,131268959,"+",0,0,-20.6365031888462
"chr10",131311857,131311857,"+",1.8874934948343e-10,3.90613239574935e-08,-24.7001223990208
"chr10",131316101,131316101,"+",0,0,-16.8931977997662
"chr10",131321881,131321881,"+",0,0,47.0521987158169
"chr10",131350999,131350999,"+",0,0,-31.7546730984581
"chr10",131367552,131367552,"+",0,0,36.9066929484152
"chr10",131400087,131400087,"+",0,0,39.937785517781
"chr10",131666019,131666019,"+",0,0,-20.4151735270379
"chr10",131697152,131697152,"+",1.17011708775649e-05,0.000684643595875071,-17.7325052325052
"chr10",131697627,131697627,"+",0,0,19.8268318688187
"chr10",131724513,131724513,"+",3.44136832364228e-08,4.26702907565556e-06,-15.0931116875389
"chr10",131725312,131725312,"+",0,0,-15.1484265908638
"chr10",131912837,131912837,"+",0,0,-18.0972042332078
"chr10",132906399,132906399,"+",0,0,-21.5815954685522
"chr10",133032036,133032036,"+",0,0,-19.4521165585371
"chr10",133185801,133185801,"+",0.000136389241739865,0.00531106380402727,-16.2718023255814
"chr10",133458338,133458338,"+",1.451247177231e-05,0.000822070935434063,17.6994826479363
"chr10",133501450,133501450,"+",0,0,-42.5541947652637
"chr10",133501535,133501535,"+",3.75255382323303e-14,1.47719320799712e-11,-30.2676929364485
"chr10",133521974,133521974,"+",1.81807124910449e-10,3.77348536719661e-08,-18.4729880548526
"chr10",133607903,133607903,"+",1.10936559938324e-08,1.5494518808343e-06,-15.5158970804817
"chr10",133647492,133647492,"+",2.33701946683595e-13,8.15343285758042e-11,19.810298102981
"chr10",133647534,133647534,"+",0,0,25.0354402202566
"chr10",133761284,133761284,"+",0,0,-21.167476091363
"chr10",133781449,133781449,"+",3.20965049852573e-05,0.0016066435061651,18.4390243902439
"chr10",133918154,133918154,"+",2.75861555820711e-11,6.7453566808459e-09,-20.4830917874396
"chr10",133951485,133951485,"+",1.68626934637928e-09,2.84750336065745e-07,23.6144904028116
"chr10",133951717,133951717,"+",0,0,22.8142212214533
"chr10",133954011,133954011,"+",2.7551763783773e-06,0.000198206348742413,19.7015739442107
"chr10",134165291,134165291,"+",1.9999633462664e-06,0.000150474388032053,-15.1408994899799
"chr10",134217093,134217093,"+",0,0,-25.8598099936545
"chr10",134246696,134246696,"+",0,0,-19.8209720582978
"chr10",134291129,134291129,"+",2.72948330604095e-11,6.68304873533327e-09,-19.7358101135191
"chr10",134304240,134304240,"+",0,0,-16.8815392728271
"chr10",134362126,134362126,"+",8.5888030513015e-05,0.00363155035952568,-16.1308913934426
"chr10",134533838,134533838,"+",0,0,-15.0975174307775
"chr10",134550831,134550831,"+",1.99840144432528e-15,9.35486872554795e-13,-16.0483721980458
"chr10",134555280,134555280,"+",8.84221185160072e-09,1.26472569982766e-06,15.9887441085444
"chr10",134555282,134555282,"+",1.3382643881954e-09,2.30910639116299e-07,16.7616586686354
"chr10",134586216,134586216,"+",0,0,-16.8504611639122
"chr10",134606093,134606093,"+",0,0,19.7724050061547
"chr10",134639452,134639452,"+",9.91373649839034e-12,2.64106101975316e-09,-18.8513037350247
"chr10",134778401,134778401,"+",0.000105240598439194,0.00429335559009215,15.9057437407953
"chr10",134793956,134793956,"+",1.82300463613672e-09,3.0574296487154e-07,15.1276276276276
"chr10",134926479,134926479,"+",1.4432899320127e-14,6.00451969894949e-12,-16.53450616749
"chr10",134928138,134928138,"+",4.83391104921793e-13,1.60493458325719e-10,-17.7099646860126
"chr10",134929679,134929679,"+",1.97064586870965e-12,5.95981444910486e-10,-16.2181469448468
"chr10",134942340,134942340,"+",1.92222417760846e-07,1.949970694786e-05,-19.0062678062678
"chr10",135202938,135202938,"+",2.2059010174047e-09,3.62523287042607e-07,15.7762334517782
"chr10",135203146,135203146,"+",8.46224201822565e-11,1.88037165151031e-08,15.6304793156578
"chr10",135203182,135203182,"+",4.15750767146505e-11,9.81244016392401e-09,16.5753113238526
"chr10",135203200,135203200,"+",1.50644125507249e-07,1.5747613976158e-05,15.1004394224733
"chr10",135216590,135216590,"+",0,0,20.2665873350357
"chr10",135310444,135310444,"+",1.25797881000977e-08,1.73450487166746e-06,-19.0211809686505
"chr10",135341748,135341748,"+",1.73669799652387e-08,2.3135965356734e-06,-17.2735490109521
"chr10",135341750,135341750,"+",7.68087093816483e-07,6.55695933963096e-05,-15.1489561933091
"chr10",135343055,135343055,"+",8.89173780160846e-08,9.86847623683813e-06,-15.5712541848463
"chr10",135464539,135464539,"+",1.4151754580416e-06,0.00011148023767837,18.3472071419954
"chr10",135498892,135498892,"+",3.88630452328176e-05,0.00188469244412562,-15.3431969285514
"chr10",135524035,135524035,"+",1.9297578779387e-07,1.95652003670133e-05,15.3130501893254
"chr11",489829,489829,"+",6.22091267388214e-12,1.72185674744203e-09,-16.921275144464
"chr11",494941,494941,"+",3.87083698427659e-11,9.19035203877194e-09,-15.054812337421
"chr11",502217,502217,"+",7.6367018749024e-05,0.00329741552189372,-15.6959829173896
"chr11",521118,521118,"+",4.52641472048487e-06,0.000303909459483003,-16.6385463984426
"chr11",534197,534197,"+",0,0,15.9296776194908
"chr11",688091,688091,"+",0,0,15.7043305126929
"chr11",698807,698807,"+",0,0,20.6015735591324
"chr11",821669,821669,"+",2.90691828164213e-07,2.80788606094941e-05,-17.6960220094888
"chr11",838110,838110,"+",0,0,-18.1113834699648
"chr11",925379,925379,"+",0.000132842815909306,0.00519625866418699,-15.2609438127369
"chr11",925493,925493,"+",9.9843874279415e-09,1.40956463722822e-06,-19.6692570927665
"chr11",946228,946228,"+",0,0,-20.5783768363999
"chr11",967348,967348,"+",2.22044604925031e-16,1.15521162270675e-13,-18.5857520421434
"chr11",975712,975712,"+",0,0,-16.2084390913864
"chr11",975715,975715,"+",0,0,-17.6014378432351
"chr11",1009416,1009416,"+",4.39435154930834e-10,8.45555483821167e-08,-16.4012345679012
"chr11",1009622,1009622,"+",1.58761892521397e-13,5.6794135160129e-11,-15.1616499442586
"chr11",1010649,1010649,"+",4.10782519111308e-15,1.84362708901743e-12,25.0749026964971
"chr11",1093599,1093599,"+",2.91655588569029e-13,1.00035379982515e-10,-17.6980453291762
"chr11",1220173,1220173,"+",0,0,-28.0517889948386
"chr11",1267562,1267562,"+",2.2392051546305e-09,3.67566927726963e-07,17.8903102600324
"chr11",1320514,1320514,"+",1.12094524292727e-05,0.000659784908330797,-16.983016983017
"chr11",1320529,1320529,"+",3.44520887263222e-07,3.25531986216713e-05,-17.8888184985746
"chr11",1320546,1320546,"+",6.33273322669936e-10,1.17529444380863e-07,-18.9097271666843
"chr11",1463662,1463662,"+",5.76205749780456e-14,2.20693090502304e-11,18.4043400174045
"chr11",1474831,1474831,"+",2.61718879901451e-09,4.22663519461556e-07,21.9836712371577
"chr11",1474841,1474841,"+",3.70406945116031e-08,4.55369307015294e-06,19.8099415204678
"chr11",1631312,1631312,"+",2.17126316925942e-11,5.41769188225805e-09,17.8952327922217
"chr11",1665308,1665308,"+",0,0,-16.3199782870736
"chr11",1707590,1707590,"+",3.32858185458917e-11,8.00760921844372e-09,21.5076544559869
"chr11",1772772,1772772,"+",4.62604470263805e-06,0.000309646956990982,-16.2654977264549
"chr11",1802354,1802354,"+",9.74614833282317e-11,2.13802791735336e-08,-16.4632157033331
"chr11",1803446,1803446,"+",7.45263739609925e-10,1.36237971579961e-07,-16.3594833721966
"chr11",1807376,1807376,"+",1.66009327395855e-06,0.000127878233144503,-17.8030303030303
"chr11",1875878,1875878,"+",0.000128083619374109,0.00504413183529983,15.978730475241
"chr11",1875883,1875883,"+",5.07449982757313e-05,0.0023536554885303,17.2613202400436
"chr11",1892538,1892538,"+",6.94793934750138e-05,0.00305109435442341,17.9578890538534
"chr11",1892552,1892552,"+",0.000116237253304896,0.00466042722351126,16.1042402826855
"chr11",1942514,1942514,"+",2.34912877039584e-07,2.32697174568386e-05,16.6525459628908
"chr11",2356823,2356823,"+",6.66133814775094e-16,3.30015434917864e-13,-17.852474192753
"chr11",2490156,2490156,"+",2.61075179062153e-05,0.00135137526152973,-15.0403104405714
"chr11",2532836,2532836,"+",5.59151613899189e-11,1.28710946621243e-08,-15.5011155814016
"chr11",2543017,2543017,"+",4.11642964159853e-09,6.36309208330964e-07,-20.7078635650064
"chr11",2943114,2943114,"+",1.11022302462516e-16,5.91807495522432e-14,18.8446079966593
"chr11",2986411,2986411,"+",1.83545321985612e-06,0.000139616791169561,-18.0718166114509
"chr11",2991219,2991219,"+",0,0,-24.1248370232212
"chr11",3021391,3021391,"+",0,0,-20.5493610383223
"chr11",3040087,3040087,"+",6.43152198165353e-13,2.10197519152997e-10,-15.6628537702707
"chr11",3048714,3048714,"+",0,0,-28.3855538367423
"chr11",3049095,3049095,"+",0,0,-22.5769068689423
"chr11",3175552,3175552,"+",3.86410356100209e-05,0.00187555397930142,-16.2437458887316
"chr11",3175577,3175577,"+",1.56879999155812e-05,0.000878620473714714,-15.9071141771217
"chr11",3177655,3177655,"+",7.64355767189917e-05,0.00330003241975025,-17.4980087614496
"chr11",3177671,3177671,"+",3.15581903409523e-06,0.000223111289199363,-16.9910874209629
"chr11",3177763,3177763,"+",6.68647692769753e-10,1.23428241980516e-07,-20.7894290499714
"chr11",3578670,3578670,"+",0,0,-24.0155992829041
"chr11",3744503,3744503,"+",3.88578058618805e-15,1.75019038404502e-12,-15.594974861144
"chr11",3938345,3938345,"+",0,0,22.3945735618887
"chr11",4137229,4137229,"+",8.28554116599767e-05,0.00352673015452628,-15.4145622895623
"chr11",4486701,4486701,"+",8.18900502963515e-13,2.62933110897495e-10,31.4235450741727
"chr11",5841068,5841068,"+",6.21724893790088e-15,2.72386740511908e-12,-17.6047068992614
"chr11",5841856,5841856,"+",0,0,-18.9297064784434
"chr11",6225759,6225759,"+",5.66377178401467e-06,0.000368000478047345,-18.8260869565217
"chr11",6953558,6953558,"+",7.6448467131951e-05,0.00330049085194504,17.0289855072464
"chr11",7541511,7541511,"+",0,0,-18.49410021785
"chr11",7541601,7541601,"+",2.24233418499864e-08,2.909204068972e-06,-17.4262089574918
"chr11",7809121,7809121,"+",1.11022302462516e-16,5.91807495522432e-14,20.0416137678093
"chr11",8014479,8014479,"+",0,0,26.3592233009709
"chr11",8022014,8022014,"+",0,0,-23.3122078389069
"chr11",8290622,8290622,"+",0.000237465798943792,0.00830097643441712,16.3058175716404
"chr11",8299883,8299883,"+",0,0,26.1682461682462
"chr11",8390035,8390035,"+",1.63601276970127e-09,2.77101358569614e-07,-18.4681769147789
"chr11",8405852,8405852,"+",5.35927669176317e-05,0.00246352592684031,15.6036556036556
"chr11",8405856,8405856,"+",3.76580858005848e-05,0.00183598042011414,15.512243406943
"chr11",9724837,9724837,"+",0,0,-18.2443210252426
"chr11",9923276,9923276,"+",4.19511049354337e-06,0.000284618729022533,20.6839679844773
